Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,Weighted Degree,Authority,Hub,pageranks,componentnumber,eigencentrality,clustering,triangles,stat_inf_class,modularity_class
Thaliastrasse,,,22,0.101677,0.149969,0.063592,2,2,0.002881,0.002881,0.009619,0,0.149625,0,0,0,8
Josefstaedter strasse,,,22,0.097097,0.141571,0.054625,2,2,0.001249,0.001249,0.009843,0,0.122213,0,0,0,8
Alser strasse,,,21,0.097194,0.138884,0.053533,2,2,0.000851,0.000851,0.009926,0,0.115528,0,0,0,8
Michelbeuern - AKH,,,20,0.098879,0.139928,0.057113,2,2,0.001291,0.001291,0.009924,0,0.120395,0,0,0,9
Waehringer strasse - Volksoper,,,19,0.102213,0.144841,0.063878,2,2,0.003005,0.003006,0.009809,0,0.141692,0,0,0,9
Nussdorfer strasse,,,18,0.106127,0.154217,0.071395,2,2,0.007686,0.007686,0.009569,0,0.197517,0,0,0,9
Jaegerstrasse,,,19,0.100518,0.149715,0.079897,2,2,0.007665,0.007665,0.009778,0,0.196362,0,0,0,9
Dresdner strasse,,,20,0.091943,0.134987,0.060567,2,2,0.002944,0.002944,0.010299,0,0.137106,0,0,0,9
Handelskai,,,21,0.084568,0.123205,0.040808,2,2,0.001128,0.001128,0.010871,0,0.105989,0,0,0,9
Neue Donau,,,22,0.078163,0.111772,0.020619,2,2,0.000425,0.000425,0.011659,0,0.078545,0,0,0,9
Floridsdorf,,,23,0.07255,0.096503,0,1,1,0.000142,0.000142,0.00649,0,0.042974,0,0,0,9
